,0
0,Alabama
1,Arizona
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Idaho
7,Indiana
8,Iowa
9,Kansas
10,Kentucky
11,Louisiana
12,Maryland
13,Massachusetts
14,Mississippi
15,Missouri
16,Montana
17,Nebraska
18,Nevada
19,New Mexico
20,North Dakota
21,Oklahoma
22,Oregon
23,Pennsylvania
24,Rhode Island
25,South Dakota
26,Tennessee
27,Utah
28,Vermont
29,Virginia
30,West Virginia
31,Wyoming
